code;name;sector;date;open;close;port_shares;total_shares;benchmark
601009.SH;NanJingYinHang;Banking;2014-01-16;7.93;7.95;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-17;7.92;7.88;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-20;7.82;7.82;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-21;7.84;7.84;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-22;7.86;7.87;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-23;7.99;7.97;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-24;7.91;7.88;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-27;7.93;7.91;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-28;7.89;7.91;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-29;7.97;7.99;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-30;7.96;7.94;10000;2968933194;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-02;4.48;4.46;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-03;4.46;4.43;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-06;4.38;4.36;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-07;4.48;4.43;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-08;4.4;4.41;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-09;4.39;4.4;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-10;4.4;4.39;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-13;4.42;4.43;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-14;4.48;4.46;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-15;4.59;4.58;11000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-16;4.65;4.64;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-17;4.62;4.61;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-20;4.66;4.66;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-21;4.62;4.58;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-22;4.61;4.6;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-23;4.65;4.61;10000;91051875187;
600028.SH;ZhongGuoShiHua;Chemical;2014-01-24;4.58;4.57;10000;91051875187;
